STT,Lat1,Lon1,Land_Cost,Unit
383,10.8259899,106.6247908,54100000,Quận 12
384,10.810164,106.6779042,174300000,Quận Phú Nhuận
385,10.8094816,106.6719917,144000000,Quận Phú Nhuận
386,10.8097417,106.673989,142100000,Quận Phú Nhuận
387,10.8118082,106.6697054,172100000,Quận Tân Bình
388,10.8054963,106.6853663,134400000,Quận Phú Nhuận
389,10.7982149,106.6725274,154700000,Quận Phú Nhuận
390,10.7966292,106.6734626,336000000,Quận Phú Nhuận
391,10.7989499,106.682925,246400000,Quận Phú Nhuận
392,10.8060348,106.6867725,142800000,Quận Bình Thạnh
393,10.8083802,106.6853548,160000000,Quận Bình Thạnh
394,10.8201375,106.7033906,157000000,Quận Bình Thạnh
395,10.821567,106.701137,205000000,Quận Bình Thạnh
396,10.8219541,106.7060091,161000000,Quận Bình Thạnh
397,10.7895444,106.7178332,81000000,Quận Bình Thạnh
398,10.7932912,106.7174745,126000000,Quận Bình Thạnh
399,10.7988868,106.7172395,222000000,Quận Bình Thạnh
400,10.7909873,106.7184276,205000000,Quận Bình Thạnh
401,10.8097962,106.7120961,160000000,Quận Bình Thạnh
402,10.8119403,106.7120126,128000000,Quận Bình Thạnh
403,10.8166414,106.7070171,142800000,Quận Bình Thạnh
404,10.8165728,106.7059622,128000000,Quận Bình Thạnh
405,10.8154898,106.7070632,140000000,Quận Bình Thạnh
406,10.8125998,106.7158392,187000000,Quận Bình Thạnh
407,10.8067358,106.7145559,175000000,Quận Bình Thạnh
408,10.8007453,106.7173538,222000000,Quận Bình Thạnh
409,10.8017221,106.7133041,222000000,Quận Bình Thạnh
410,10.8069347,106.716118,102000000,Quận Bình Thạnh
411,10.8026899,106.7213331,175000000,Quận Bình Thạnh
412,10.7924672,106.6827486,149000000,Quận Bình Thạnh
413,10.7970922,106.7064704,149000000,Quận Bình Thạnh
414,10.7984757,106.7131913,137000000,Quận Bình Thạnh
415,10.7941807,106.7116346,140000000,Quận Bình Thạnh
416,10.7973609,106.6920327,65000000,Quận Bình Thạnh
417,10.7998186,106.7010903,149000000,Quận Bình Thạnh
418,10.8163092,106.7008019,157000000,Quận Bình Thạnh
419,10.8105825,106.7026868,131000000,Quận Bình Thạnh
