Unit,Name,,Type,Value,x coordinate,y coordinate,Existing demand
Quận 12,Bãi đỗ xe tư nhân Tô Ngọc Vân,60,60 kW DC,4,10.8595145,106.6679555,48
Quận 12,Bãi đỗ xe 437 Hà Huy Giáp,11,11 Kw AC,4,10.8700843,106.677007,8.8
Quận 12,Bãi đỗ xe 437 Hà Huy Giáp,60,60 kW DC,6,10.8700843,106.677007,72
Quận 12,Bãi đỗ xe DBK,11,11 Kw AC,3,10.8604904,106.6811463,6.6
Quận 12,Bãi đỗ xe DBK,60,60 kW DC,2,10.8604904,106.6811463,24
Quận 12,Bãi đỗ xe tư nhân Số 08,11,11 Kw AC,4,10.870554,106.6850482,8.8
Quận 12,Bãi đỗ xe tư nhân Số 08,60,60 kW DC,2,10.870554,106.6850482,24
Quận 12,Bãi đỗ xe An Phú Đông,11,11 Kw AC,4,10.8564607,106.6862923,8.8
Quận 12,Bãi đỗ xe An Phú Đông,60,60 kW DC,2,10.8564607,106.6862923,24
Quận 12,Bãi đỗ xe Auto Phúc Nguyên,11,11 Kw AC,2,10.8559367,106.6858039,4.4
Quận 12,Bãi đỗ xe Auto Phúc Nguyên,60,60 kW DC,2,10.8559367,106.6858039,24
Quận 12,Bãi đỗ xe tư nhân Ân An,11,11 Kw AC,2,10.8571184,106.6871335,4.4
Quận 12,Bãi đỗ xe tư nhân Ân An,60,60 kW DC,2,10.8571184,106.6871335,24
Quận 12,Bãi đỗ xe Thu Hiền,11,11 Kw AC,2,10.8537599,106.6910594,4.4
Quận 12,Bãi đỗ xe Thu Hiền,60,60 kW DC,2,10.8537599,106.6910594,24
Quận 12,Bãi đỗ xe Anh Sơn 6,11,11 Kw AC,2,10.8406288,106.6948671,4.4
Quận 12,Bãi đỗ xe Anh Sơn 6,60,60 kW DC,2,10.8406288,106.6948671,24
Quận 12,Bãi đỗ xe 24H - 331 Vườn Lài,60,60 kW DC,4,10.8488874,106.6957329,48
Quận 12,Bãi đỗ xe FamilyCar,60,60 kW DC,2,10.8507655,106.693186,24
Quận 3,Bãi đỗ xe La Vela Saigon Hotel,150,150 kW DC,2,10.7886708,106.6854708,60
Quận 3,Chung cư Léman Luxury,11,11 Kw AC,3,10.7778617,106.6899343,6.6
Quận 5,Trung tâm Hội nghị The Adora Grand View,60,60 kW DC,4,10.7579848,106.6679385,48
Quận 6,Chung cư Summer Square,11,11 Kw AC,3,10.7593879,106.6259582,6.6
Quận 6,Bãi đỗ xe Huỳnh Hiếu Thiện,11,11 Kw AC,3,10.7336831,106.63275,6.6
Quận 6,Bãi đỗ xe Huỳnh Hiếu Thiện,60,60 kW DC,2,10.7336831,106.63275,24
Quận 7,Chung cư Eco Green HR1,11,11 Kw AC,3,10.7495216,106.7235012,6.6
Quận 7,Chung cư Eco Green HR2,11,11 Kw AC,3,10.7495216,106.7235012,6.6
Quận 7,"Đại lý Ô tô VinFast, Chevrolet Phú Mỹ Hưng 2",30,30 kW DC,2,10.7383681,106.7162217,12
Quận 7,Trung tâm Hội nghị The Adora Premium,60,60 kW DC,4,10.7300123,106.7198243,48
Quận 7,Chung cư Golden King,11,11 Kw AC,2,10.7259945,106.7240041,4.4
Quận 7,Chung cư Green View,11,11 Kw AC,3,10.7240045,106.7246632,6.6
Quận 7,Bãi đỗ xe Cty TyreZone,11,11 Kw AC,6,10.7137525,106.7415909,13.2
Quận 7,Bãi đỗ xe Cty TyreZone,60,60 kW DC,8,10.7137525,106.7415909,96
Quận 7,Vincom+ Nam Long,120,120 kW DC,4,10.7440185,106.7326323,96
Quận 7,Vincom+ Nam Long,250,250 kW DC,2,10.7440185,106.7326323,100
Quận 7,Bãi đỗ xe tư nhân Phú Nhuận,11,11 Kw AC,1,10.7301262,106.7379914,2.2
Quận 7,Bãi đỗ xe tư nhân Phú Nhuận,60,60 kW DC,4,10.7301262,106.7379914,48
Quận 8,Bãi đỗ xe Tạ Quang Bửu,11,11 Kw AC,2,10.7387872,106.6748317,4.4
Quận 8,Bãi đỗ xe Tạ Quang Bửu,30,30 kW DC,2,10.7387872,106.6748317,12
Quận Bình Thạnh,Bãi đỗ xe Xanh Tiên Phong,11,11 Kw AC,5,10.825006,106.7411559,11
Quận Bình Thạnh,Bãi đỗ xe Xanh Tiên Phong,60,60 kW DC,10,10.825006,106.7411559,120
Quận Bình Thạnh,Bãi đỗ xe Vinmec Central Park - Trong hầm,11,11 Kw AC,1,10.7939771,106.7203482,2.2
Quận Bình Thạnh,Bãi đỗ xe Vinmec Central Park - Trong hầm,30,30 kW DC,1,10.7939771,106.7203482,6
Quận Bình Thạnh,Vinhomes Landmark 81 - Hầm,11,11 Kw AC,2,10.7955236,106.7192025,4.4
Quận Bình Thạnh,Vinhomes Landmark 81 - Hầm,30,30 kW DC,2,10.7955236,106.7192025,12
Quận Bình Thạnh,Vinhomes Landmark 81 - Hầm,60,60 kW DC,2,10.7955236,106.7192025,24
Quận Bình Thạnh,Vincom Center Landmark 81 - Sảnh chính,60,60 kW DC,12,10.7955236,106.7192025,144
